start_id,end_id
category:corporate:根分类,scheme:corporate_subject
category:corporate:交通运输,scheme:corporate_subject
category:corporate:人力资源,scheme:corporate_subject
category:corporate:公安消防,scheme:corporate_subject
category:corporate:公用事业,scheme:corporate_subject
category:corporate:其他,scheme:corporate_subject
category:corporate:农林牧渔,scheme:corporate_subject
category:corporate:准营准办,scheme:corporate_subject
category:corporate:劳动保障,scheme:corporate_subject
category:corporate:医疗卫生,scheme:corporate_subject
category:corporate:司法公证,scheme:corporate_subject
category:corporate:商务贸易,scheme:corporate_subject
category:corporate:国土和规划建设,scheme:corporate_subject
category:corporate:土地房产,scheme:corporate_subject
category:corporate:地方特色分类,scheme:corporate_subject
category:corporate:城市综合执法,scheme:corporate_subject
category:corporate:安全生产,scheme:corporate_subject
category:corporate:安全防护,scheme:corporate_subject
category:corporate:对外交流,scheme:corporate_subject
category:corporate:年审年检,scheme:corporate_subject
category:corporate:应对气候变化,scheme:corporate_subject
category:corporate:建设管理,scheme:corporate_subject
category:corporate:投资审批,scheme:corporate_subject
category:corporate:抵押质押,scheme:corporate_subject
category:corporate:招标拍卖,scheme:corporate_subject
category:corporate:文体教育,scheme:corporate_subject
category:corporate:文物保护,scheme:corporate_subject
category:corporate:新闻广电,scheme:corporate_subject
category:corporate:档案文物,scheme:corporate_subject
category:corporate:检验检疫,scheme:corporate_subject
category:corporate:民族宗教,scheme:corporate_subject
category:corporate:水利水务,scheme:corporate_subject
category:corporate:水务气象,scheme:corporate_subject
category:corporate:法人注销,scheme:corporate_subject
category:corporate:海关口岸,scheme:corporate_subject
category:corporate:涉外服务,scheme:corporate_subject
category:corporate:环保绿化,scheme:corporate_subject
category:corporate:知识产权,scheme:corporate_subject
category:corporate:破产注销,scheme:corporate_subject
category:corporate:社会保障,scheme:corporate_subject
category:corporate:科技创新,scheme:corporate_subject
category:corporate:立项审批,scheme:corporate_subject
category:corporate:融资信贷,scheme:corporate_subject
category:corporate:设立变更,scheme:corporate_subject
category:corporate:财务税务,scheme:corporate_subject
category:corporate:质量技术,scheme:corporate_subject
category:corporate:质量检查,scheme:corporate_subject
category:corporate:资质认证,scheme:corporate_subject
category:corporate:金融投资,scheme:corporate_subject
category:corporate:食品药品,scheme:corporate_subject
