start_id,end_id
category:corporate:交通运输,category:corporate:根分类
category:corporate:人力资源,category:corporate:根分类
category:corporate:公安消防,category:corporate:根分类
category:corporate:公用事业,category:corporate:根分类
category:corporate:其他,category:corporate:根分类
category:corporate:农林牧渔,category:corporate:根分类
category:corporate:准营准办,category:corporate:根分类
category:corporate:劳动保障,category:corporate:根分类
category:corporate:医疗卫生,category:corporate:根分类
category:corporate:司法公证,category:corporate:根分类
category:corporate:商务贸易,category:corporate:根分类
category:corporate:国土和规划建设,category:corporate:根分类
category:corporate:土地房产,category:corporate:根分类
category:corporate:地方特色分类,category:corporate:根分类
category:corporate:城市综合执法,category:corporate:根分类
category:corporate:安全生产,category:corporate:根分类
category:corporate:安全防护,category:corporate:根分类
category:corporate:对外交流,category:corporate:根分类
category:corporate:年审年检,category:corporate:根分类
category:corporate:应对气候变化,category:corporate:根分类
category:corporate:建设管理,category:corporate:根分类
category:corporate:投资审批,category:corporate:根分类
category:corporate:抵押质押,category:corporate:根分类
category:corporate:招标拍卖,category:corporate:根分类
category:corporate:文体教育,category:corporate:根分类
category:corporate:文物保护,category:corporate:根分类
category:corporate:新闻广电,category:corporate:根分类
category:corporate:档案文物,category:corporate:根分类
category:corporate:检验检疫,category:corporate:根分类
category:corporate:民族宗教,category:corporate:根分类
category:corporate:水利水务,category:corporate:根分类
category:corporate:水务气象,category:corporate:根分类
category:corporate:法人注销,category:corporate:根分类
category:corporate:海关口岸,category:corporate:根分类
category:corporate:涉外服务,category:corporate:根分类
category:corporate:环保绿化,category:corporate:根分类
category:corporate:知识产权,category:corporate:根分类
category:corporate:破产注销,category:corporate:根分类
category:corporate:社会保障,category:corporate:根分类
category:corporate:科技创新,category:corporate:根分类
category:corporate:立项审批,category:corporate:根分类
category:corporate:融资信贷,category:corporate:根分类
category:corporate:设立变更,category:corporate:根分类
category:corporate:财务税务,category:corporate:根分类
category:corporate:质量技术,category:corporate:根分类
category:corporate:质量检查,category:corporate:根分类
category:corporate:资质认证,category:corporate:根分类
category:corporate:金融投资,category:corporate:根分类
category:corporate:食品药品,category:corporate:根分类
