start_id,end_id
model:corporate:base,domain:corporate
model:corporate:交通运输,domain:corporate
model:corporate:人力资源,domain:corporate
model:corporate:公安消防,domain:corporate
model:corporate:公用事业,domain:corporate
model:corporate:其他,domain:corporate
model:corporate:农林牧渔,domain:corporate
model:corporate:准营准办,domain:corporate
model:corporate:劳动保障,domain:corporate
model:corporate:医疗卫生,domain:corporate
model:corporate:司法公证,domain:corporate
model:corporate:商务贸易,domain:corporate
model:corporate:国土和规划建设,domain:corporate
model:corporate:土地房产,domain:corporate
model:corporate:地方特色分类,domain:corporate
model:corporate:城市综合执法,domain:corporate
model:corporate:安全生产,domain:corporate
model:corporate:安全防护,domain:corporate
model:corporate:对外交流,domain:corporate
model:corporate:年审年检,domain:corporate
model:corporate:应对气候变化,domain:corporate
model:corporate:建设管理,domain:corporate
model:corporate:投资审批,domain:corporate
model:corporate:抵押质押,domain:corporate
model:corporate:招标拍卖,domain:corporate
model:corporate:文体教育,domain:corporate
model:corporate:文物保护,domain:corporate
model:corporate:新闻广电,domain:corporate
model:corporate:档案文物,domain:corporate
model:corporate:检验检疫,domain:corporate
model:corporate:民族宗教,domain:corporate
model:corporate:水利水务,domain:corporate
model:corporate:水务气象,domain:corporate
model:corporate:法人注销,domain:corporate
model:corporate:海关口岸,domain:corporate
model:corporate:涉外服务,domain:corporate
model:corporate:环保绿化,domain:corporate
model:corporate:知识产权,domain:corporate
model:corporate:破产注销,domain:corporate
model:corporate:社会保障,domain:corporate
model:corporate:科技创新,domain:corporate
model:corporate:立项审批,domain:corporate
model:corporate:融资信贷,domain:corporate
model:corporate:设立变更,domain:corporate
model:corporate:财务税务,domain:corporate
model:corporate:质量技术,domain:corporate
model:corporate:质量检查,domain:corporate
model:corporate:资质认证,domain:corporate
model:corporate:金融投资,domain:corporate
model:corporate:食品药品,domain:corporate
