start_id,end_id
model:corporate:交通运输,model:corporate:base
model:corporate:人力资源,model:corporate:base
model:corporate:公安消防,model:corporate:base
model:corporate:公用事业,model:corporate:base
model:corporate:其他,model:corporate:base
model:corporate:农林牧渔,model:corporate:base
model:corporate:准营准办,model:corporate:base
model:corporate:劳动保障,model:corporate:base
model:corporate:医疗卫生,model:corporate:base
model:corporate:司法公证,model:corporate:base
model:corporate:商务贸易,model:corporate:base
model:corporate:国土和规划建设,model:corporate:base
model:corporate:土地房产,model:corporate:base
model:corporate:地方特色分类,model:corporate:base
model:corporate:城市综合执法,model:corporate:base
model:corporate:安全生产,model:corporate:base
model:corporate:安全防护,model:corporate:base
model:corporate:对外交流,model:corporate:base
model:corporate:年审年检,model:corporate:base
model:corporate:应对气候变化,model:corporate:base
model:corporate:建设管理,model:corporate:base
model:corporate:投资审批,model:corporate:base
model:corporate:抵押质押,model:corporate:base
model:corporate:招标拍卖,model:corporate:base
model:corporate:文体教育,model:corporate:base
model:corporate:文物保护,model:corporate:base
model:corporate:新闻广电,model:corporate:base
model:corporate:档案文物,model:corporate:base
model:corporate:检验检疫,model:corporate:base
model:corporate:民族宗教,model:corporate:base
model:corporate:水利水务,model:corporate:base
model:corporate:水务气象,model:corporate:base
model:corporate:法人注销,model:corporate:base
model:corporate:海关口岸,model:corporate:base
model:corporate:涉外服务,model:corporate:base
model:corporate:环保绿化,model:corporate:base
model:corporate:知识产权,model:corporate:base
model:corporate:破产注销,model:corporate:base
model:corporate:社会保障,model:corporate:base
model:corporate:科技创新,model:corporate:base
model:corporate:立项审批,model:corporate:base
model:corporate:融资信贷,model:corporate:base
model:corporate:设立变更,model:corporate:base
model:corporate:财务税务,model:corporate:base
model:corporate:质量技术,model:corporate:base
model:corporate:质量检查,model:corporate:base
model:corporate:资质认证,model:corporate:base
model:corporate:金融投资,model:corporate:base
model:corporate:食品药品,model:corporate:base
