category_id,name,category_level,parent_category_id,scheme_id,domain_id,description,status,version
category:corporate:根分类,法人服务,1,,scheme:corporate_subject,domain:corporate,法人服务根分类,ACTIVE,v1
category:corporate:交通运输,交通运输,2,category:corporate:根分类,scheme:corporate_subject,domain:corporate,法人服务：交通运输,ACTIVE,v1
category:corporate:人力资源,人力资源,2,category:corporate:根分类,scheme:corporate_subject,domain:corporate,法人服务：人力资源,ACTIVE,v1
category:corporate:公安消防,公安消防,2,category:corporate:根分类,scheme:corporate_subject,domain:corporate,法人服务：公安消防,ACTIVE,v1
category:corporate:公用事业,公用事业,2,category:corporate:根分类,scheme:corporate_subject,domain:corporate,法人服务：公用事业,ACTIVE,v1
category:corporate:其他,其他,2,category:corporate:根分类,scheme:corporate_subject,domain:corporate,法人服务：其他,ACTIVE,v1
category:corporate:农林牧渔,农林牧渔,2,category:corporate:根分类,scheme:corporate_subject,domain:corporate,法人服务：农林牧渔,ACTIVE,v1
category:corporate:准营准办,准营准办,2,category:corporate:根分类,scheme:corporate_subject,domain:corporate,法人服务：准营准办,ACTIVE,v1
category:corporate:劳动保障,劳动保障,2,category:corporate:根分类,scheme:corporate_subject,domain:corporate,法人服务：劳动保障,ACTIVE,v1
category:corporate:医疗卫生,医疗卫生,2,category:corporate:根分类,scheme:corporate_subject,domain:corporate,法人服务：医疗卫生,ACTIVE,v1
category:corporate:司法公证,司法公证,2,category:corporate:根分类,scheme:corporate_subject,domain:corporate,法人服务：司法公证,ACTIVE,v1
category:corporate:商务贸易,商务贸易,2,category:corporate:根分类,scheme:corporate_subject,domain:corporate,法人服务：商务贸易,ACTIVE,v1
category:corporate:国土和规划建设,国土和规划建设,2,category:corporate:根分类,scheme:corporate_subject,domain:corporate,法人服务：国土和规划建设,ACTIVE,v1
category:corporate:土地房产,土地房产,2,category:corporate:根分类,scheme:corporate_subject,domain:corporate,法人服务：土地房产,ACTIVE,v1
category:corporate:地方特色分类,地方特色分类,2,category:corporate:根分类,scheme:corporate_subject,domain:corporate,法人服务：地方特色分类,ACTIVE,v1
category:corporate:城市综合执法,城市综合执法,2,category:corporate:根分类,scheme:corporate_subject,domain:corporate,法人服务：城市综合执法,ACTIVE,v1
category:corporate:安全生产,安全生产,2,category:corporate:根分类,scheme:corporate_subject,domain:corporate,法人服务：安全生产,ACTIVE,v1
category:corporate:安全防护,安全防护,2,category:corporate:根分类,scheme:corporate_subject,domain:corporate,法人服务：安全防护,ACTIVE,v1
category:corporate:对外交流,对外交流,2,category:corporate:根分类,scheme:corporate_subject,domain:corporate,法人服务：对外交流,ACTIVE,v1
category:corporate:年审年检,年审年检,2,category:corporate:根分类,scheme:corporate_subject,domain:corporate,法人服务：年审年检,ACTIVE,v1
category:corporate:应对气候变化,应对气候变化,2,category:corporate:根分类,scheme:corporate_subject,domain:corporate,法人服务：应对气候变化,ACTIVE,v1
category:corporate:建设管理,建设管理,2,category:corporate:根分类,scheme:corporate_subject,domain:corporate,法人服务：建设管理,ACTIVE,v1
category:corporate:投资审批,投资审批,2,category:corporate:根分类,scheme:corporate_subject,domain:corporate,法人服务：投资审批,ACTIVE,v1
